ascension recta;declinacion;ultravioleta;verde;rojo;casi-infrarrojo;infrarrojo;observacion;rerun;camcol;campo;dj;v_fila;v_columna;limpieza;calidad
248.7830871;0.8024438;21.31055;18.71729;17.2991;16.70556;16.33871;745;301;5;601;51671;0.00030201;0.000208264;1;baja
197.5768362;-0.637101379;23.40264;22.10569;20.46775;19.51037;18.9099;752;301;2;361;55589;-9.02E-05;0.006130795;1;media
